종목코드,종목명,시장구분,소속부,종가,대비,등락률,시가,고가,저가,거래량,거래대금,시가총액,상장주식수
"005320","국동","KOSPI",,"1160","35","3.11","1135","1180","1125","364924","420294390","64274887760","55409386"
"001140","국보","KOSPI",,"906","19","2.14","880","913","850","1005624","892341007","71918985774","79380779"
"066620","국보디자인","KOSDAQ","우량기업부","15350","0","0.00","15600","15850","15200","8973","139841000","115125000000","7500000"
"043650","국순당","KOSDAQ","우량기업부","7200","200","2.86","7080","7370","7080","62293","450536500","128579788800","17858304"
"006050","국영지앤엠","KOSDAQ","중견기업부","1190","5","0.42","1195","1225","1190","104430","125837845","41525339170","34895243"
"060480","국일신동","KOSDAQ","중견기업부","2740","15","0.55","2730","2815","2710","46690","129084980","30386600000","11090000"
"078130","국일제지","KOSDAQ","중견기업부","2060","-25","-1.20","2105","2140","2040","467157","976865665","262891994380","127617473"
"307750","국전약품","KOSDAQ","우량기업부","10800","1480","15.88","9660","11150","9650","21836417","234158805590","529948105200","49069269"
"002720","국제약품","KOSPI",,"4050","210","5.47","3900","4205","3900","224096","915788385","81790353450","20195149"
"243870","굿센","KONEX","일반기업부","15650","0","0.00","0","0","0","0","0","40436548250","2583805"
"035080","그래디언트","KOSDAQ","중견기업부","14650","150","1.03","14650","15050","14450","60650","896987650","227479105600","15527584"
"204020","그리티","KOSDAQ","중견기업부","2820","-15","-0.53","2860","2920","2810","129453","370067200","56815752600","20147430"
"083420","그린케미칼","KOSPI",,"9280","120","1.31","9940","10100","9160","4983619","48372456980","222720000000","24000000"
"186230","그린플러스","KOSDAQ","벤처기업부","11200","-200","-1.75","11750","11900","11200","32727","377503700","121186105600","10820188"
"014530","극동유화","KOSPI",,"3410","-5","-0.15","3405","3480","3380","168782","576872680","118904722200","34869420"
